ZIYECH, AJAX, MOROCCO 
TAGLIAFICO, AJAX, ARGENTINA 
DE LIGT, AJAX, NETHERLANDS 
BLIND, AJAX, NETHERLANDS 
TADIĆ, AJAX, SERBIA 
DAVID NERES, AJAX, BRAZIL 
SCHÖNE, AJAX, DENMARK 
LABYAD, AJAX, MOROCCO 
VELTMAN, AJAX, NETHERLANDS 
ONANA, AJAX, CAMEROON 
DOLBERG, AJAX, DENMARK 
VAN DE BEEK, AJAX, NETHERLANDS 
DE JONG, AJAX, NETHERLANDS 
HUNTELAAR, AJAX, NETHERLANDS 
SINKGRAVEN, AJAX, NETHERLANDS 
WÖBER, AJAX, AUSTRIA 
ČERNÝ, AJAX, CZECH REPUBLIC 
KRISTENSEN, AJAX, DENMARK 
LAMPROU, AJAX, GREECE 
EITING, AJAX, NETHERLANDS 
BANDÉ, AJAX, BURKINA FASO 
OREJUELA, AJAX, COLOMBIA 
MAZRAOUI, AJAX, MOROCCO 
JOHNSEN, AJAX, NORWAY 
SCHUURS, AJAX, NETHERLANDS 
SIERHUIS, AJAX, NETHERLANDS 
EKKELENKAMP, AJAX, NETHERLANDS 
BAKKER, AJAX, NETHERLANDS 
DE WIT, AJAX, NETHERLANDS 
LANG, AJAX, NETHERLANDS 
GRAVENBERCH, AJAX, NETHERLANDS 
BANEGA, Sevilla, ARGENTINA 
PROMES, Sevilla, NETHERLANDS 
MERCADO, Sevilla, ARGENTINA 
PABLO SARABIA, Sevilla, SPAIN 
KJÆR, Sevilla, DENMARK 
BEN YEDDER, Sevilla, FRANCE 
VÁZQUEZ, Sevilla, ITALY 
SERGIO ESCUDERO, Sevilla, SPAIN 
JESÚS NAVAS, Sevilla, SPAIN 
NOLITO, Sevilla, SPAIN 
VACLÍK, Sevilla, CZECH REPUBLIC 
ROQUE MESA, Sevilla, SPAIN 
GNAGNON, Sevilla, FRANCE 
GONALONS, Sevilla, FRANCE 
MURIEL, Sevilla, COLOMBIA 
ALEIX VIDAL, Sevilla, SPAIN 
ANDRÉ SILVA, Sevilla, PORTUGAL 
SERGI GÓMEZ, Sevilla, SPAIN 
GUILHERME ARANA, Sevilla, BRAZIL 
AMADOU, Sevilla, CAMEROON 
DANIEL CARRIÇO, Sevilla, PORTUGAL 
BORJA LASSO, Sevilla, SPAIN 
